congruent,word,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,trialResp.keys,trialResp.corr,trialResp.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,space,2.07283997536,,,,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,green,right,blue,0,0,0,3,,,,,,,,,,,left,0,1.48577713966,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,blue,left,red,0,1,1,5,,,,,,,,,,,left,1,0.78518986702,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,blue,right,blue,0,2,2,4,,,,,,,,,,,right,1,0.585587024689,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,red,left,red,0,3,3,0,,,,,,,,,,,left,1,0.535382032394,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,red,down,green,0,4,4,1,,,,,,,,,,,down,1,0.48558306694,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,green,down,green,0,5,5,2,,,,,,,,,,,down,1,0.435435056686,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
,,,,,,,,,,,,,,,,,,,,,space,1.50330400467,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,red,left,red,,,,,0,0,0,0,,,,,,,left,1,0.852071046829,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,blue,right,blue,,,,,0,1,1,4,,,,,,,right,1,0.535261154175,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,blue,left,red,,,,,0,2,2,5,,,,,,,left,1,0.652541875839,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,green,right,blue,,,,,0,3,3,3,,,,,,,right,1,1.13524198532,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,red,down,green,,,,,0,4,4,1,,,,,,,down,1,0.535437822342,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,green,down,green,,,,,0,5,5,2,,,,,,,down,1,0.518846035004,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
,,,,,,,,,,,,,,,,,,,,,space,1.12011599541,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,blue,right,blue,,,,,,,,,0,0,0,4,,,right,1,1.53590607643,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,red,down,green,,,,,,,,,0,1,1,1,,,down,1,0.768848896027,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,red,left,red,,,,,,,,,0,2,2,0,,,left,1,0.55197095871,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
1,green,down,green,,,,,,,,,0,3,3,2,,,down,1,0.635627985001,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,green,right,blue,,,,,,,,,0,4,4,3,,,right,1,0.868695020676,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
0,blue,left,red,,,,,,,,,0,5,5,5,,,left,1,0.619108200073,,,2017_Oct_25_1204,60.0326906837,StroopExp,001,moses,
